cbsa_name,cbsa_states
"Springfield, MA",MA
"Worcester, MA-CT","MA,CT"
"Pittsfield, MA",MA
"Boston-Cambridge-Newton, MA-NH","MA,NH"
"Providence-Warwick, RI-MA","MA,RI"
"Barnstable Town, MA",MA
"Vineyard Haven, MA",MA
"Manchester-Nashua, NH",NH
"Concord, NH",NH
"Lebanon, NH-VT","NH,VT"
"Laconia, NH",NH
"Keene, NH",NH
"Berlin, NH-VT",NH
"Portland-South Portland, ME",ME
"Lewiston-Auburn, ME",ME
"Augusta-Waterville, ME",ME
"Bangor, ME",ME
"Bennington, VT",VT
"Burlington-South Burlington, VT",VT
"Barre, VT",VT
"Rutland, VT",VT
"Hartford-West Hartford-East Hartford, CT",CT
"Torrington, CT",CT
"Norwich-New London, CT",CT
"New York-Newark-Jersey City, NY-NJ-PA","CT,NJ,NY,PA"
"New Haven-Milford, CT",CT
"Bridgeport-Stamford-Norwalk, CT",CT
"Allentown-Bethlehem-Easton, PA-NJ","NJ,PA"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","NJ,PA,DE,MD"
"Atlantic City-Hammonton, NJ",NJ
"Ocean City, NJ",NJ
"Vineland-Bridgeton, NJ",NJ
"Trenton, NJ",NJ
"Poughkeepsie-Newburgh-Middletown, NY",NY
"Albany-Schenectady-Troy, NY",NY
"Amsterdam, NY",NY
"Hudson, NY",NY
"Gloversville, NY",NY
"Glens Falls, NY",NY
"Oneonta, NY",NY
"Kingston, NY",NY
"Plattsburgh, NY",NY
"Malone, NY",NY
"Ogdensburg-Massena, NY",NY
"Auburn, NY",NY
"Syracuse, NY",NY
"Cortland, NY",NY
"Utica-Rome, NY",NY
"Ithaca, NY",NY
"Rochester, NY",NY
"Seneca Falls, NY",NY
"Watertown-Fort Drum, NY",NY
"Binghamton, NY",NY
"Buffalo-Cheektowaga-Niagara Falls, NY",NY
"Batavia, NY",NY
"Olean, NY",NY
"Jamestown-Dunkirk-Fredonia, NY",NY
"Corning, NY",NY
"Elmira, NY",NY
"Pittsburgh, PA",PA
"Somerset, PA",PA
"Indiana, PA",PA
"Johnstown, PA",PA
"DuBois, PA",PA
"St. Marys, PA",PA
"New Castle, PA",PA
"Meadville, PA",PA
"Youngstown-Warren-Boardman, OH-PA","PA,OH"
"Oil City, PA",PA
"Warren, PA",PA
"Bradford, PA",PA
"Erie, PA",PA
"Altoona, PA",PA
"Huntingdon, PA",PA
"State College, PA",PA
"Lock Haven, PA",PA
"Sayre, PA",PA
"Lewistown, PA",PA
"Lebanon, PA",PA
"Harrisburg-Carlisle, PA",PA
"Sunbury, PA",PA
"York-Hanover, PA",PA
"Lancaster, PA",PA
"Chambersburg-Waynesboro, PA",PA
"Gettysburg, PA",PA
"Williamsport, PA",PA
"Selinsgrove, PA",PA
"Bloomsburg-Berwick, PA",PA
"Lewisburg, PA",PA
"Pottsville, PA",PA
"Reading, PA",PA
"East Stroudsburg, PA",PA
"Scranton--Wilkes-Barre--Hazleton, PA",PA
"Dover, DE",DE
"Salisbury, MD-DE","DE,MD"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","DC,VA,MD,WV"
"California-Lexington Park, MD",MD
"Baltimore-Columbia-Towson, MD",MD
"Cumberland, MD-WV","MD,WV"
"Easton, MD",MD
"Cambridge, MD",MD
"Hagerstown-Martinsburg, MD-WV","MD,WV"
"Winchester, VA-WV","VA,WV"
"Harrisonburg, VA",VA
"Staunton-Waynesboro, VA",VA
"Charlottesville, VA",VA
"Richmond, VA",VA
"Virginia Beach-Norfolk-Newport News, VA-NC","VA,NC"
"Roanoke, VA",VA
"Martinsville, VA",VA
"Blacksburg-Christiansburg-Radford, VA",VA
"Danville, VA",VA
"Lynchburg, VA",VA
"Kingsport-Bristol-Bristol, TN-VA","VA,TN"
"Big Stone Gap, VA",VA
"Bluefield, WV-VA","VA,WV"
"Charleston, WV",WV
"Beckley, WV",WV
"Huntington-Ashland, WV-KY-OH","WV,KY,OH"
,
"Point Pleasant, WV-OH","WV,OH"
"Wheeling, WV-OH","WV,OH"
"Weirton-Steubenville, WV-OH","WV,OH"
"Parkersburg-Vienna, WV",WV
"Elkins, WV",WV
"Clarksburg, WV",WV
"Morgantown, WV",WV
"Fairmont, WV",WV
"Winston-Salem, NC",NC
"Mount Airy, NC",NC
"Charlotte-Concord-Gastonia, NC-SC","NC,SC"
"Greensboro-High Point, NC",NC
"Durham-Chapel Hill, NC",NC
"Burlington, NC",NC
"Pinehurst-Southern Pines, NC",NC
"Sanford, NC",NC
"Fayetteville, NC",NC
"Raleigh, NC",NC
"Goldsboro, NC",NC
"Henderson, NC",NC
"Rocky Mount, NC",NC
"Washington, NC",NC
"Greenville, NC",NC
"Roanoke Rapids, NC",NC
"Wilson, NC",NC
"Elizabeth City, NC",NC
"Kill Devil Hills, NC",NC
"Albemarle, NC",NC
"Forest City, NC",NC
"Shelby, NC",NC
"Rockingham, NC",NC
"Lumberton, NC",NC
"Laurinburg, NC",NC
"Wilmington, NC",NC
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","NC,SC"
"Jacksonville, NC",NC
"Kinston, NC",NC
"New Bern, NC",NC
"Morehead City, NC",NC
"Hickory-Lenoir-Morganton, NC",NC
"Boone, NC",NC
"North Wilkesboro, NC",NC
"Asheville, NC",NC
"Cullowhee, NC",NC
"Brevard, NC",NC
"Marion, NC",NC
"Sumter, SC",SC
"Columbia, SC",SC
"Orangeburg, SC",SC
"Union, SC",SC
"Newberry, SC",SC
"Florence, SC",SC
"Augusta-Richmond County, GA-SC","SC,GA"
"Spartanburg, SC",SC
"Greenville-Anderson-Mauldin, SC",SC
"Gaffney, SC",SC
"Charleston-North Charleston, SC",SC
"Georgetown, SC",SC
"Bennettsville, SC",SC
"Seneca, SC",SC
"Greenwood, SC",SC
"Hilton Head Island-Bluffton-Beaufort, SC",SC
"Atlanta-Sandy Springs-Roswell, GA",GA
"Cedartown, GA",GA
"Rome, GA",GA
"Calhoun, GA",GA
"LaGrange, GA","GA,AL"
"Thomaston, GA",GA
"Vidalia, GA",GA
"Statesboro, GA",GA
"Dublin, GA",GA
"Gainesville, GA",GA
"Cornelia, GA",GA
"Jefferson, GA",GA
"Toccoa, GA",GA
"Athens-Clarke County, GA",GA
"Dalton, GA",GA
"Chattanooga, TN-GA","GA,TN"
"Summerville, GA",GA
"Warner Robins, GA",GA
"Cordele, GA",GA
"Macon-Bibb County, GA",GA
"Columbus, GA-AL","GA,AL"
"Milledgeville, GA",GA
"Hinesville, GA",GA
"Savannah, GA",GA
"Brunswick, GA",GA
"Waycross, GA",GA
"Douglas, GA",GA
"Jesup, GA",GA
"St. Marys, GA",GA
"Valdosta, GA",GA
"Thomasville, GA",GA
"Albany, GA",GA
"Americus, GA",GA
"Tifton, GA",GA
"Moultrie, GA",GA
"Fitzgerald, GA",GA
"Jacksonville, FL",FL
"Lake City, FL",FL
"Orlando-Kissimmee-Sanford, FL",FL
"Deltona-Daytona Beach-Ormond Beach, FL",FL
"Palatka, FL",FL
"Ocala, FL",FL
"The Villages, FL",FL
"Tallahassee, FL",FL
"Panama City, FL",FL
"Crestview-Fort Walton Beach-Destin, FL",FL
"Pensacola-Ferry Pass-Brent, FL",FL
"Gainesville, FL",FL
"Palm Bay-Melbourne-Titusville, FL",FL
"Sebastian-Vero Beach, FL",FL
"Miami-Fort Lauderdale-West Palm Beach, FL",FL
"Key West, FL",FL
"Clewiston, FL",FL
"Port St. Lucie, FL",FL
"Tampa-St. Petersburg-Clearwater, FL",FL
"Lakeland-Winter Haven, FL",FL
"Sebring, FL",FL
"Wauchula, FL",FL
"Cape Coral-Fort Myers, FL",FL
"Punta Gorda, FL",FL
"Naples-Immokalee-Marco Island, FL",FL
"North Port-Sarasota-Bradenton, FL",FL
"Arcadia, FL",FL
"Homosassa Springs, FL",FL
"Okeechobee, FL",FL
"Birmingham-Hoover, AL",AL
"Alexander City, AL",AL
"Talladega-Sylacauga, AL",AL
"Albertville, AL",AL
"Cullman, AL",AL
"Tuscaloosa, AL",AL
"Decatur, AL",AL
"Florence-Muscle Shoals, AL",AL
"Huntsville, AL",AL
"Scottsboro, AL",AL
"Gadsden, AL",AL
"Fort Payne, AL",AL
"Montgomery, AL",AL
"Troy, AL",AL
"Eufaula, AL-GA","AL,GA"
"Anniston-Oxford-Jacksonville, AL",AL
"Dothan, AL",AL
"Ozark, AL",AL
"Enterprise, AL",AL
"Atmore, AL",AL
"Mobile, AL",AL
"Daphne-Fairhope-Foley, AL",AL
"Selma, AL",AL
"Auburn-Opelika, AL",AL
"Clarksville, TN-KY","TN,KY"
"Nashville-Davidson--Murfreesboro--Franklin, TN",TN
"Tullahoma-Manchester, TN",TN
"Lewisburg, TN",TN
"Shelbyville, TN",TN
"McMinnville, TN",TN
"Athens, TN",TN
"Cleveland, TN",TN
"Dayton, TN",TN
"Johnson City, TN",TN
"Greeneville, TN",TN
"Knoxville, TN",TN
"Morristown, TN",TN
"Newport, TN",TN
"Crossville, TN",TN
"Sevierville, TN",TN
"Jackson, TN",TN
"Memphis, TN-MS-AR","TN,MS,AR"
"Brownsville, TN",TN
"Dyersburg, TN",TN
"Paris, TN",TN
"Martin, TN",TN
"Union City, TN-KY",TN
"Lawrenceburg, TN",TN
"Cookeville, TN",TN
"Oxford, MS",MS
"Clarksdale, MS",MS
"Greenville, MS",MS
"Cleveland, MS",MS
"Indianola, MS",MS
"Tupelo, MS",MS
"Corinth, MS",MS
"Grenada, MS",MS
"Greenwood, MS",MS
"Jackson, MS",MS
"Hattiesburg, MS",MS
"Natchez, MS-LA","MS,LA"
"Vicksburg, MS",MS
"Meridian, MS",MS
"Laurel, MS",MS
"Picayune, MS",MS
"Gulfport-Biloxi-Pascagoula, MS",MS
"Brookhaven, MS",MS
"McComb, MS",MS
"Columbus, MS",MS
"West Point, MS",MS
"Starkville, MS",MS
"Bainbridge, GA",GA
"Louisville/Jefferson County, KY-IN","KY,IN"
"Bardstown, KY",KY
"Elizabethtown-Fort Knox, KY",KY
"Mount Sterling, KY",KY
"Lexington-Fayette, KY",KY
"Richmond-Berea, KY",KY
"Frankfort, KY",KY
"Danville, KY",KY
"London, KY",KY
"Middlesborough, KY",KY
"Cincinnati, OH-KY-IN","KY,OH,IN"
"Maysville, KY",KY
"Paducah, KY-IL","KY,IL"
"Murray, KY",KY
"Mayfield, KY",KY
"Bowling Green, KY",KY
"Glasgow, KY",KY
"Owensboro, KY",KY
"Central City, KY",KY
"Evansville, IN-KY","KY,IN"
"Madisonville, KY",KY
"Somerset, KY",KY
"Campbellsville, KY",KY
"Columbus, OH",OH
"Urbana, OH",OH
"Springfield, OH",OH
"Mount Vernon, OH",OH
"Chillicothe, OH",OH
"Washington Court House, OH",OH
"Marion, OH",OH
"Bellefontaine, OH",OH
"Toledo, OH",OH
"Fremont, OH",OH
"Sandusky, OH",OH
"Defiance, OH",OH
"Zanesville, OH",OH
"Cambridge, OH",OH
"Coshocton, OH",OH
"New Philadelphia-Dover, OH",OH
"Salem, OH",OH
"Cleveland-Elyria, OH",OH
"Ashtabula, OH",OH
"Akron, OH",OH
"Wooster, OH",OH
"Canton-Massillon, OH",OH
"Tiffin, OH",OH
"Findlay, OH",OH
"Ashland, OH",OH
"Mansfield, OH",OH
"Bucyrus, OH",OH
"Norwalk, OH",OH
"Wilmington, OH",OH
"Sidney, OH",OH
"Greenville, OH",OH
"Portsmouth, OH",OH
"Jackson, OH",OH
"Athens, OH",OH
"Marietta, OH",OH
"Lima, OH",OH
"Wapakoneta, OH",OH
"Celina, OH",OH
"Van Wert, OH",OH
"Indianapolis-Carmel-Anderson, IN",IN
"Frankfort, IN",IN
"Connersville, IN",IN
"New Castle, IN",IN
"Chicago-Naperville-Elgin, IL-IN-WI","IN,WI,IL"
"Michigan City-La Porte, IN",IN
"Plymouth, IN",IN
"Elkhart-Goshen, IN",IN
"Warsaw, IN",IN
"South Bend-Mishawaka, IN-MI","IN,MI"
"Kendallville, IN",IN
"Huntington, IN",IN
"Angola, IN",IN
"Fort Wayne, IN",IN
"Auburn, IN",IN
"Decatur, IN",IN
"Kokomo, IN",IN
"Peru, IN",IN
"Lafayette-West Lafayette, IN",IN
"Marion, IN",IN
"Logansport, IN",IN
"Wabash, IN",IN
"Scottsburg, IN",IN
"Columbus, IN",IN
"Seymour, IN",IN
"North Vernon, IN",IN
"Madison, IN",IN
"Greensburg, IN",IN
"Muncie, IN",IN
"Richmond, IN",IN
"Bloomington, IN",IN
"Bedford, IN",IN
"Washington, IN",IN
"Vincennes, IN",IN
"Jasper, IN",IN
"Terre Haute, IN",IN
"Crawfordsville, IN",IN
"Detroit-Warren-Dearborn, MI",MI
"Ann Arbor, MI",MI
"Monroe, MI",MI
"Lansing-East Lansing, MI",MI
"Saginaw, MI",MI
"Flint, MI",MI
"Bay City, MI",MI
"Alma, MI",MI
"Midland, MI",MI
"Grand Rapids-Wyoming, MI",MI
"Mount Pleasant, MI",MI
"Kalamazoo-Portage, MI",MI
"Holland, MI",MI
"Battle Creek, MI",MI
"Niles-Benton Harbor, MI",MI
"Coldwater, MI",MI
"Sturgis, MI",MI
"Jackson, MI",MI
"Adrian, MI",MI
"Hillsdale, MI",MI
"Muskegon, MI",MI
"Big Rapids, MI",MI
"Ludington, MI",MI
"Cadillac, MI",MI
"Traverse City, MI",MI
"Alpena, MI",MI
"Sault Ste. Marie, MI",MI
"Iron Mountain, MI-WI","MI,WI"
"Houghton, MI",MI
"Escanaba, MI",MI
"Marinette, WI-MI","MI,WI"
"Marquette, MI",MI
"Des Moines-West Des Moines, IA",IA
"Marshalltown, IA",IA
"Ames, IA",IA
"Oskaloosa, IA",IA
"Pella, IA",IA
"Carroll, IA",IA
"Mason City, IA",IA
"Fort Dodge, IA",IA
"Storm Lake, IA",IA
"Waterloo-Cedar Falls, IA",IA
"Sioux City, IA-NE-SD","IA,SD,NE"
"Spencer, IA",IA
"Spirit Lake, IA",IA
"Omaha-Council Bluffs, NE-IA","IA,NE"
"Dubuque, IA",IA
"Clinton, IA",IA
"Iowa City, IA",IA
"Cedar Rapids, IA",IA
"Ottumwa, IA",IA
"Fairfield, IA",IA
"Burlington, IA-IL","IA,IL"
"Fort Madison-Keokuk, IA-IL-MO","IA,IL,MO"
"Muscatine, IA",IA
"Davenport-Moline-Rock Island, IA-IL","IA,IL"
"Sheboygan, WI",WI
"Milwaukee-Waukesha-West Allis, WI",WI
"Beaver Dam, WI",WI
"Fond du Lac, WI",WI
"Appleton, WI",WI
"Manitowoc, WI",WI
"Watertown-Fort Atkinson, WI",WI
"Racine, WI",WI
"Whitewater-Elkhorn, WI",WI
"Janesville-Beloit, WI",WI
"Madison, WI",WI
"Platteville, WI",WI
"Baraboo, WI",WI
"Minneapolis-St. Paul-Bloomington, MN-WI","WI,MN"
"Green Bay, WI",WI
"Shawano, WI",WI
"Wausau, WI",WI
"Stevens Point, WI",WI
"Wisconsin Rapids-Marshfield, WI",WI
"La Crosse-Onalaska, WI-MN","WI,MN"
"Eau Claire, WI",WI
"Menomonie, WI",WI
"Duluth, MN-WI","WI,MN"
"Oshkosh-Neenah, WI",WI
"Red Wing, MN",MN
"Faribault-Northfield, MN",MN
"Rochester, MN",MN
"Owatonna, MN",MN
"Hutchinson, MN",MN
"St. Cloud, MN",MN
"Grand Rapids, MN",MN
"Austin, MN",MN
"Winona, MN",MN
"Mankato-North Mankato, MN",MN
"Albert Lea, MN",MN
"New Ulm, MN",MN
"Fairmont, MN",MN
"Worthington, MN",MN
"Marshall, MN",MN
"Willmar, MN",MN
"Alexandria, MN",MN
"Fergus Falls, MN",MN
"Brainerd, MN",MN
"Fargo, ND-MN","MN,ND"
"Grand Forks, ND-MN","MN,ND"
"Wahpeton, ND-MN","MN,ND"
"Bemidji, MN",MN
"Brookings, SD",SD
"Sioux Falls, SD",SD
"Vermillion, SD",SD
"Yankton, SD",SD
"Watertown, SD",SD
"Mitchell, SD",SD
"Huron, SD",SD
"Aberdeen, SD",SD
"Pierre, SD",SD
"Rapid City, SD",SD
"Spearfish, SD",SD
"Jamestown, ND",ND
"Bismarck, ND",ND
"Dickinson, ND",ND
"Minot, ND",ND
"Williston, ND",ND
"Billings, MT",MT
"Great Falls, MT",MT
"Helena, MT",MT
"Butte-Silver Bow, MT",MT
"Bozeman, MT",MT
"Missoula, MT",MT
"Kalispell, MT",MT
"Pontiac, IL",IL
"Dixon, IL",IL
"Kankakee, IL",IL
"Danville, IL",IL
"Champaign-Urbana, IL",IL
"Rochelle, IL",IL
"Rockford, IL",IL
"Freeport, IL",IL
"Sterling, IL",IL
"Peoria, IL",IL
"Galesburg, IL",IL
"Macomb, IL",IL
"Bloomington, IL",IL
"Lincoln, IL",IL
"Decatur, IL",IL
"Charleston-Mattoon, IL",IL
"St. Louis, MO-IL","IL,MO"
"Taylorville, IL",IL
"Quincy, IL-MO","IL,MO"
"Effingham, IL",IL
"Springfield, IL",IL
"Jacksonville, IL",IL
"Centralia, IL",IL
"Mount Vernon, IL",IL
"Carbondale-Marion, IL",IL
"Cape Girardeau, MO-IL","IL,MO"
"Farmington, MO",MO
"Mexico, MO",MO
"Jefferson City, MO",MO
"Hannibal, MO",MO
"Kirksville, MO",MO
"Sikeston, MO",MO
"Kennett, MO",MO
"Poplar Bluff, MO",MO
"Kansas City, MO-KS","MO,KS"
"Warrensburg, MO",MO
"St. Joseph, MO-KS","MO,KS"
"Maryville, MO",MO
"Joplin, MO",MO
"Columbia, MO",MO
"Moberly, MO",MO
"Sedalia, MO",MO
"Marshall, MO",MO
"Rolla, MO",MO
"Fort Leonard Wood, MO",MO
"Lebanon, MO",MO
"West Plains, MO",MO
"Springfield, MO",MO
"Branson, MO",MO
"Atchison, KS",KS
"Lawrence, KS",KS
"Ottawa, KS",KS
"Topeka, KS",KS
"Manhattan, KS",KS
"Pittsburg, KS",KS
"Emporia, KS",KS
"Wichita, KS",KS
"Winfield, KS",KS
"McPherson, KS",KS
"Coffeyville, KS",KS
"Parsons, KS",KS
"Salina, KS",KS
"Hutchinson, KS",KS
"Great Bend, KS",KS
"Hays, KS",KS
"Dodge City, KS",KS
"Garden City, KS",KS
"Liberal, KS",KS
"Fremont, NE",NE
"Beatrice, NE",NE
"Lincoln, NE",NE
"Columbus, NE",NE
"Grand Island, NE",NE
"Norfolk, NE",NE
"Kearney, NE",NE
"Lexington, NE",NE
"Hastings, NE",NE
"North Platte, NE",NE
"Scottsbluff, NE",NE
"New Orleans-Metairie, LA",LA
"Houma-Thibodaux, LA",LA
"Baton Rouge, LA",LA
"Morgan City, LA",LA
"Hammond, LA",LA
"Bogalusa, LA",LA
"Lafayette, LA",LA
"Opelousas, LA",LA
"Jennings, LA",LA
"Lake Charles, LA",LA
"DeRidder, LA",LA
"Fort Polk South, LA",LA
"Shreveport-Bossier City, LA",LA
"Minden, LA",LA
"Natchitoches, LA",LA
"Monroe, LA",LA
"Ruston, LA",LA
"Alexandria, LA",LA
"Pine Bluff, AR",AR
"Camden, AR",AR
"Hope, AR",AR
"El Dorado, AR",AR
"Magnolia, AR",AR
"Arkadelphia, AR",AR
"Texarkana, TX-AR","AR,TX"
"Hot Springs, AR",AR
"Malvern, AR",AR
"Little Rock-North Little Rock-Conway, AR",AR
"Searcy, AR",AR
"Batesville, AR",AR
"Blytheville, AR",AR
"Forrest City, AR",AR
"Helena-West Helena, AR",AR
"Jonesboro, AR",AR
"Paragould, AR",AR
"Mountain Home, AR",AR
"Harrison, AR",AR
"Fayetteville-Springdale-Rogers, AR-MO",AR
"Russellville, AR",AR
"Fort Smith, AR-OK","AR,OK"
"Oklahoma City, OK",OK
"Stillwater, OK",OK
"Duncan, OK",OK
"Weatherford, OK",OK
"Ardmore, OK",OK
"Durant, OK",OK
"Lawton, OK",OK
"Altus, OK",OK
"Elk City, OK",OK
"Enid, OK",OK
"Woodward, OK",OK
"Guymon, OK",OK
"Tulsa, OK",OK
"Bartlesville, OK",OK
"Miami, OK",OK
"Muskogee, OK",OK
"McAlester, OK",OK
"Tahlequah, OK",OK
"Ponca City, OK",OK
"Shawnee, OK",OK
"Ada, OK",OK
"Dallas-Fort Worth-Arlington, TX",TX
"Sherman-Denison, TX",TX
"Corsicana, TX",TX
"Athens, TX",TX
"Paris, TX",TX
"Bonham, TX",TX
"Sulphur Springs, TX",TX
"Mount Pleasant, TX",TX
"Longview, TX",TX
"Tyler, TX",TX
"Nacogdoches, TX",TX
"Jacksonville, TX",TX
"Palestine, TX",TX
"Lufkin, TX",TX
"Granbury, TX",TX
"Mineral Wells, TX",TX
"Wichita Falls, TX",TX
"Gainesville, TX",TX
"Vernon, TX",TX
"Stephenville, TX",TX
"Brownwood, TX",TX
"Abilene, TX",TX
"Killeen-Temple, TX",TX
"Waco, TX",TX
"Austin-Round Rock, TX",TX
"College Station-Bryan, TX",TX
"San Angelo, TX",TX
"Houston-The Woodlands-Sugar Land, TX",TX
"Huntsville, TX",TX
"Bay City, TX",TX
"El Campo, TX",TX
"Brenham, TX",TX
"Beaumont-Port Arthur, TX",TX
"Victoria, TX",TX
"Port Lavaca, TX",TX
"San Antonio-New Braunfels, TX",TX
"Kerrville, TX",TX
"Laredo, TX",TX
"Zapata, TX",TX
"Beeville, TX",TX
"Alice, TX",TX
"Corpus Christi, TX",TX
"Kingsville, TX",TX
"McAllen-Edinburg-Mission, TX",TX
"Brownsville-Harlingen, TX",TX
"Rio Grande City, TX",TX
"Raymondville, TX",TX
"Fredericksburg, TX",TX
"Uvalde, TX",TX
"Del Rio, TX",TX
"Eagle Pass, TX",TX
"Amarillo, TX",TX
"Borger, TX",TX
"Dumas, TX",TX
"Plainview, TX",TX
"Hereford, TX",TX
"Pampa, TX",TX
"Levelland, TX",TX
"Lubbock, TX",TX
"Lamesa, TX",TX
"Big Spring, TX",TX
"Snyder, TX",TX
"Sweetwater, TX",TX
"Midland, TX",TX
"Andrews, TX",TX
"Pecos, TX",TX
"Odessa, TX",TX
"El Paso, TX",TX
"Denver-Aurora-Lakewood, CO",CO
"Boulder, CO",CO
"Colorado Springs, CO",CO
"Edwards, CO",CO
"Breckenridge, CO",CO
"Steamboat Springs, CO",CO
"Fort Collins, CO",CO
"Greeley, CO",CO
"Fort Morgan, CO",CO
"Sterling, CO",CO
"Pueblo, CO",CO
"Durango, CO",CO
"Cañon City, CO",CO
"Montrose, CO",CO
"Grand Junction, CO",CO
"Glenwood Springs, CO",CO
"Craig, CO",CO
"Cheyenne, WY",WY
"Laramie, WY",WY
"Rock Springs, WY",WY
"Riverton, WY",WY
"Casper, WY",WY
"Gillette, WY",WY
"Sheridan, WY",WY
"Evanston, WY",WY
"Jackson, WY-ID","WY,ID"
"Pocatello, ID",ID
"Blackfoot, ID",ID
"Idaho Falls, ID",ID
"Logan, UT-ID","ID,UT"
"Twin Falls, ID",ID
"Burley, ID",ID
"Hailey, ID",ID
"Rexburg, ID",ID
"Lewiston, ID-WA","ID,WA"
"Moscow, ID",ID
"Boise City, ID",ID
"Ontario, OR-ID","ID,OR"
"Mountain Home, ID",ID
"Coeur d'Alene, ID",ID
"Sandpoint, ID",ID
"Provo-Orem, UT",UT
"Salt Lake City, UT",UT
"Ogden-Clearfield, UT",UT
"Heber, UT",UT
"Vernal, UT",UT
"Price, UT",UT
"Cedar City, UT",UT
"St. George, UT",UT
"Phoenix-Mesa-Scottsdale, AZ",AZ
"Tucson, AZ",AZ
"Yuma, AZ",AZ
"Payson, AZ",AZ
"Safford, AZ",AZ
"Sierra Vista-Douglas, AZ",AZ
"Nogales, AZ",AZ
"Show Low, AZ",AZ
"Flagstaff, AZ",AZ
"Lake Havasu City-Kingman, AZ",AZ
"Albuquerque, NM",NM
"Grants, NM",NM
"Santa Fe, NM",NM
"Española, NM",NM
"Gallup, NM",NM
"Farmington, NM",NM
"Taos, NM",NM
"Los Alamos, NM",NM
"Las Vegas, NM",NM
"Las Cruces, NM",NM
"Silver City, NM",NM
"Deming, NM",NM
"Clovis, NM",NM
"Portales, NM",NM
"Hobbs, NM",NM
"Roswell, NM",NM
"Carlsbad-Artesia, NM",NM
"Ruidoso, NM",NM
"Alamogordo, NM",NM
"Las Vegas-Henderson-Paradise, NV",NV
"Pahrump, NV",NV
"Elko, NV",NV
"Reno, NV",NV
"Fernley, NV",NV
"Fallon, NV",NV
"Gardnerville Ranchos, NV",NV
"Winnemucca, NV",NV
"Carson City, NV",NV
"Los Angeles-Long Beach-Anaheim, CA",CA
"Oxnard-Thousand Oaks-Ventura, CA",CA
"Riverside-San Bernardino-Ontario, CA",CA
"San Diego-Carlsbad, CA",CA
"El Centro, CA",CA
"Santa Maria-Santa Barbara, CA",CA
"Hanford-Corcoran, CA",CA
"Bakersfield, CA",CA
"Visalia-Porterville, CA",CA
"Fresno, CA",CA
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",CA
"Salinas, CA",CA
"Madera, CA",CA
"Merced, CA",CA
"San Francisco-Oakland-Hayward, CA",CA
"San Jose-Sunnyvale-Santa Clara, CA",CA
"Napa, CA",CA
"Vallejo-Fairfield, CA",CA
"Santa Rosa, CA",CA
"Santa Cruz-Watsonville, CA",CA
"Stockton-Lodi, CA",CA
"Modesto, CA",CA
"Sonora, CA",CA
"Ukiah, CA",CA
"Clearlake, CA",CA
"Eureka-Arcata-Fortuna, CA",CA
"Crescent City, CA",CA
"Sacramento--Roseville--Arden-Arcade, CA",CA
"Yuba City, CA",CA
"Truckee-Grass Valley, CA",CA
"Chico, CA",CA
"Redding, CA",CA
"Red Bluff, CA",CA
"Susanville, CA",CA
"Urban Honolulu, HI",HI
"Kapaa, HI",HI
"Hilo, HI",HI
"Kahului-Wailuku-Lahaina, HI",HI
"The Dalles, OR",OR
"Salem, OR",OR
"Portland-Vancouver-Hillsboro, OR-WA","OR,WA"
"Hood River, OR",OR
"Astoria, OR",OR
"Albany, OR",OR
"Corvallis, OR",OR
"Newport, OR",OR
"Eugene, OR",OR
"Brookings, OR",OR
"Roseburg, OR",OR
"Coos Bay, OR",OR
"Grants Pass, OR",OR
"Medford, OR",OR
"Klamath Falls, OR",OR
"Bend-Redmond, OR",OR
"Prineville, OR",OR
"Hermiston-Pendleton, OR",OR
"La Grande, OR",OR
"Seattle-Tacoma-Bellevue, WA",WA
"Bremerton-Silverdale, WA",WA
"Bellingham, WA",WA
"Mount Vernon-Anacortes, WA",WA
"Oak Harbor, WA",WA
"Port Angeles, WA",WA
"Centralia, WA",WA
"Olympia-Tumwater, WA",WA
"Aberdeen, WA",WA
"Shelton, WA",WA
"Longview, WA",WA
"Wenatchee, WA",WA
"Moses Lake, WA",WA
"Yakima, WA",WA
"Ellensburg, WA",WA
"Spokane-Spokane Valley, WA",WA
"Pullman, WA",WA
"Othello, WA",WA
"Kennewick-Richland, WA",WA
"Walla Walla, WA",WA
"Anchorage, AK",AK
"Fairbanks, AK",AK
"Juneau, AK",AK
"Ketchikan, AK",AK
